Workflowid,Submitteddate,Createdby,Updateddate,Stage,Status,Onhold,Onholdreason,Onholdtimeon,Onholdtimeoff,Onholdtotaltime,Checkedout,Checkoutby,Checkedouttime,Checkedintime,Cancelled,Cancelcomment,Rejected,Rejectcomment,Createddate,Workflowname,Draft,Schedulercreated,Stage_1,Stage_1_completed_by,Stage_1_completed_date,Stage_1_rework,Stage_1_reworkreason,Stage_1_rework_date,Stage_1_skipped,Stage_1_sla,Stage_2,Stage_2_completed_by,Stage_2_completed_date,Stage_2_rework,Stage_2_reworkreason,Stage_2_rework_date,Stage_2_skipped,Stage_2_sla,Stage_3,Stage_3_completed_by,Stage_3_completed_date,Stage_3_rework,Stage_3_reworkreason,Stage_3_rework_date,Stage_3_skipped,Stage_3_sla,Stage_4,Stage_4_completed_by,Stage_4_completed_date,Stage_4_rework,Stage_4_reworkreason,Stage_4_rework_date,Stage_4_skipped,Stage_4_sla,Stage_5,Stage_5_completed_by,Stage_5_completed_date,Stage_5_rework,Stage_5_reworkreason,Stage_5_rework_date,Stage_5_skipped,Stage_5_sla,Stage_6,Stage_6_completed_by,Stage_6_completed_date,Stage_6_rework,Stage_6_reworkreason,Stage_6_rework_date,Stage_6_skipped,Stage_6_sla,Stage_7,Stage_7_completed_by,Stage_7_completed_date,Stage_7_rework,Stage_7_reworkreason,Stage_7_rework_date,Stage_7_skipped,Stage_7_sla
IN-AD-2020-64857,10-09-2020 00:57:27,Reasarlm Cbre,10-09-2020 01:01:01,Update MRI,Rework,False,,,,,False,Operation Admin,10-09-2020 00:58:13,10-09-2020 01:00:47,False,,False,,10-09-2020 00:57:27,Adhoc Request,False,False,True,Reasarlm Cbre,10-09-2020 00:57:27,False,,,False,,False,,,False,,,False,11-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 01:01:01,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64858,10-09-2020 01:02:12,Apm Cbre,10-09-2020 01:06:41,Update MRI,Rework,False,,,,,False,Reasarlm Cbre,10-09-2020 01:03:27,10-09-2020 01:06:27,False,,False,,10-09-2020 01:02:12,Adhoc Request,False,False,True,Apm Cbre,10-09-2020 01:02:12,False,,,False,,False,,,False,,,False,11-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 01:06:41,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64891,10-09-2020 08:25:45,Reasarlm Cbre,10-09-2020 08:29:40,Update MRI,Rework,False,,,,,False,Operation Admin,10-09-2020 08:26:31,10-09-2020 08:29:26,False,,False,,10-09-2020 08:25:45,Adhoc Request,False,False,True,Reasarlm Cbre,10-09-2020 08:25:45,False,,,False,,False,,,False,,,False,11-09-2020 08:29:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 08:29:40,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64908,10-09-2020 10:13:34,Pm Cbre,10-09-2020 10:14:33,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,10-09-2020 10:14:17,10-09-2020 10:14:17,False,,False,,10-09-2020 10:13:34,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 10:14:33,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64909,10-09-2020 10:15:55,Pm Cbre,10-09-2020 10:16:58,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,10-09-2020 10:16:42,10-09-2020 10:16:42,False,,False,,10-09-2020 10:15:55,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 10:16:58,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64951,11-09-2020 01:42:16,Pm Cbre,11-09-2020 01:44:15,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,11-09-2020 01:43:01,11-09-2020 01:44:01,False,,False,,11-09-2020 01:42:16,Adhoc Request,False,False,True,Pm Cbre,11-09-2020 01:42:16,False,,,False,,False,,,False,,,False,14-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",11-09-2020 01:44:15,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64952,11-09-2020 01:45:46,Apm Cbre,11-09-2020 01:47:45,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,11-09-2020 01:46:29,11-09-2020 01:47:30,False,,False,,11-09-2020 01:45:46,Adhoc Request,False,False,True,Apm Cbre,11-09-2020 01:45:46,False,,,False,,False,,,False,,,False,14-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",11-09-2020 01:47:45,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64957,11-09-2020 02:10:14,Pm Cbre,11-09-2020 02:13:54,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,11-09-2020 02:11:00,11-09-2020 02:13:39,False,,False,,11-09-2020 02:10:14,Adhoc Request,False,False,True,Pm Cbre,11-09-2020 02:10:14,False,,,False,,False,,,False,,,False,14-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",11-09-2020 02:13:54,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64959,11-09-2020 02:18:44,Apm Cbre,11-09-2020 02:22:16,Update MRI,Rework,False,,,,,False,Reasarlm Cbre,11-09-2020 02:19:27,11-09-2020 02:22:02,False,,False,,11-09-2020 02:18:44,Adhoc Request,False,False,True,Apm Cbre,11-09-2020 02:18:44,False,,,False,,False,,,False,,,False,14-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",11-09-2020 02:22:16,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-DRE-2020-65627,17-09-2020 12:02:00,Operation Admin,17-09-2020 12:03:30,Process DRE,Rework,False,,,,,False,,,,False,,False,,17-09-2020 12:02:00,Deposit Received In Error,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
